=== 20260727.log ===
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.745 | contour_area=8.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.740 | contour_area=44.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.736 | contour_area=27.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.726 | contour_area=99.500
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.725 | contour_area=11.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.710 | contour_area=21.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.696 | contour_area=96.000
14:12:08 | DEBUG | Detect | dinosaur | template | confidence=0.667 | anchor_bbox={'x': 144, 'y': 274, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:08 | DEBUG | Detect | dinosaur | template | confidence=0.661 | anchor_bbox={'x': 553, 'y': 929, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:08 | DEBUG | Detect | dinosaur | template | confidence=0.658 | anchor_bbox={'x': 165, 'y': 910, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:08 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.657 | contour_area=461.500
14:12:08 | DEBUG | Detect | dinosaur | template | confidence=0.628 | anchor_bbox={'x': 485, 'y': 942, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:08 | DEBUG | Detect | dinosaur | template | confidence=0.604 | anchor_bbox={'x': 734, 'y': 188, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:08 | DEBUG | Planning | no actionable target | anchor_window=6 exclusion_zone=1 own_path_angle=8 own_path_marker=3 screen_margin=1
14:12:08 | DEBUG | Capture | 900x1600 | #17632 | 367ms
14:12:11 | INFO | Detect | 16 dinosaur, 147 own_hunt_path | 2650ms
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.952 | anchor_bbox={'x': 232, 'y': 574, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.950 | anchor_bbox={'x': 761, 'y': 567, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.940 | anchor_bbox={'x': 703, 'y': 500, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.933 | anchor_bbox={'x': 353, 'y': 667, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.909 | anchor_bbox={'x': 656, 'y': 487, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.889 | anchor_bbox={'x': 581, 'y': 646, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.868 | anchor_bbox={'x': 511, 'y': 328, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.837 | contour_area=288.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.816 | contour_area=46.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.815 | contour_area=40.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.812 | contour_area=25.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.806 | contour_area=45.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.806 | contour_area=30.000
14:12:11 | DEBUG | Detect | dinosaur | template | confidence=0.803 | anchor_bbox={'x': 742, 'y': 471, 'width': 18, 'height': 18}, asset=dinosaur-level-label.png, template_scale=1.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.802 | contour_area=18.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.801 | contour_area=21.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.801 | contour_area=21.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.800 | contour_area=24.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.797 | contour_area=17.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.797 | contour_area=17.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.797 | contour_area=17.000
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.797 | contour_area=48.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.796 | contour_area=43.500
14:12:11 | DEBUG | Detect | own_hunt_path | hsv | confidence=0.796 | contour_area=14.500
